gID,gName,rDate,rAge,price,dlcCount
1,Counter-Strike,2000-11-01,0,9.99,0
2,Team Fortress Classic,1999-04-01,0,4.99,0
3,Day of Defeat,2003-05-01,0,4.99,0
4,Deathmatch Classic,2001-06-01,0,4.99,0
5,Half-Life: Opposing Force,1999-11-01,0,4.99,0
6,Ricochet,2000-11-01,0,4.99,0
7,Half-Life,1998-11-08,0,9.99,1
8,Counter-Strike: Condition Zero,2004-03-01,0,9.99,0
9,Half-Life: Blue Shift,2001-06-01,0,4.99,0
10,Half-Life 2,2004-11-16,0,9.99,1
11,Counter-Strike: Source,2004-11-01,0,19.99,0
12,Half-Life: Source,2004-06-01,0,9.99,0
13,Day of Defeat: Source,2010-07-12,0,9.99,0
14,Half-Life 2: Deathmatch,2004-11-01,0,4.99,0
15,Half-Life 2: Lost Coast,2005-10-27,0,0,0
16,Half-Life Deathmatch: Source,2006-05-01,0,9.99,0
17,Half-Life 2: Episode One,2006-06-01,0,7.99,1
18,Portal,2007-10-10,0,9.99,1
19,Half-Life 2: Episode Two,2007-10-10,0,7.99,1
20,Team Fortress 2,2007-10-10,0,0,0
21,Left 4 Dead,2008-11-17,0,19.99,0
22,Left 4 Dead 2,2009-11-16,0,19.99,0
23,Dota 2,2013-07-09,0,0,0
24,Portal 2,2011-04-18,0,19.99,1
25,Alien Swarm,2010-07-19,0,0,0
26,Counter-Strike: Global Offensive,2012-08-21,0,14.99,0
27,Rag Doll Kung Fu,2005-10-12,0,9.99,0
28,Red Orchestra: Ostfront 41-45,2006-03-14,0,9.99,0
29,Killing Floor,2009-05-14,17,19.99,21
30,SiN Episodes: Emergence,2006-05-10,0,9.99,0
31,Darwinia,2005-07-14,0,9.99,0
32,Uplink,2006-08-23,0,9.99,0
33,DEFCON,2006-09-29,0,9.99,0
34,Multiwinia,2008-09-19,0,9.99,0
35,Dangerous Waters,2006-02-07,0,14.99,0
36,Space Empires IV Deluxe,2006-02-07,0,9.99,0
37,Jagged Alliance 2,2006-07-06,0,19.99,0
38,Disciples II: Rise of the Elves,2006-07-06,0,6.49,0
39,Disciples II: Gallean's Return,2006-07-06,0,6.49,0
40,Iron Warriors: T-72 Tank Command,2006-07-26,0,4.99,0
41,Space Empires V,2006-10-16,0,14.99,0
42,Arx Fatalis,2007-04-03,0,4.99,0
43,Source Filmmaker,2012-07-10,0,0,0
44,Earth 2160,2006-04-01,0,4.99,0
45,Two Worlds: Epic Edition,2009-04-30,17,9.99,1
46,Dark Messiah of Might & Magic Single Player,2006-10-25,17,9.99,0
47,Quake III Arena,2007-08-03,0,14.99,0
48,Quake 4,2011-08-04,17,14.99,0
49,Wolfenstein 3D,2007-08-03,0,4.99,0
50,The Ultimate DOOM,2007-08-03,0,4.99,0
51,Final DOOM,2007-08-03,0,4.99,0
52,DOOM II: Hell on Earth,2007-08-03,0,4.99,0
53,Quake,2007-08-03,0,4.99,0
54,Quake II,2007-08-03,0,4.99,0
55,Quake II: The Reckoning,2007-08-03,0,2.99,0
56,Quake II: Ground Zero,2007-08-03,0,2.99,0
57,Quake III: Team Arena,2007-08-03,0,14.99,0
58,HeXen: Beyond Heretic,2007-08-03,0,4.99,0
59,HeXen: Deathkings of the Dark Citadel,2007-08-03,0,4.99,0
60,Heretic: Shadow of the Serpent Riders,2007-08-03,0,4.99,0
61,The Ship,2006-07-11,0,9.99,0
62,The Ship Single Player,2006-11-20,0,0,0
63,Bloody Good Time,2010-10-29,0,4.99,0
64,Shadowgrounds,2006-05-08,17,6.99,0
65,Gumboy: Crazy Adventures,2006-12-19,0,4.99,0
66,RIP,2007-06-01,0,4.99,0
67,Vigil: Blood Bitterness,2007-06-29,0,0,0
68,Alpha Prime,2007-11-07,17,4.99,0
69,Vampire: The Masquerade - Bloodlines,2007-03-22,17,19.99,0
70,GUN,2006-10-13,17,19.99,0
71,Call of Duty,2006-10-13,0,19.99,0
72,Call of Duty 2,2006-10-13,0,19.99,0
73,Call of Duty: United Offensive,2006-10-13,0,19.99,0
74,RollerCoaster Tycoon 3: Platinum!,2008-03-12,0,19.99,0
75,Act of War: Direct Action,2008-03-12,0,2.99,0
76,ThreadSpace: Hyperbol,2007-07-12,0,9.99,0
77,Arma: Combat Operations,2008-03-12,0,7.99,0
78,X2: The Threat,2006-07-21,0,4.99,0
79,X3: Reunion,2006-07-21,0,9.99,1
80,X3: Terran Conflict,2008-10-16,0,15.99,3
81,X: Beyond the Frontier,2010-10-08,0,4.99,0
82,X-Tension,2010-10-08,0,4.99,0
83,X Rebirth,2013-11-15,0,29.99,2
84,688(I) Hunter/Killer,2006-10-26,0,9.99,0
85,Fleet Command,2006-10-26,0,9.99,0
86,Sub Command,2006-10-26,0,9.99,0
87,FlatOut 2,2006-12-21,0,9.99,0
88,GTI Racing,2006-08-24,0,4.99,0
89,Xpand Rally,2006-08-24,0,4.99,0
90,Call of Juarez,2007-11-08,17,9.99,0
91,Xpand Rally Xtreme,2008-10-08,0,4.99,0
92,Men of War: Red Tide,2009-11-01,0,4.99,0
93,King's Bounty: Armored Princess,2009-11-19,0,9.99,0
94,Painkiller: Gold Edition,2007-01-24,17,9.99,0
95,Genesis Rising,2007-08-06,0,4.99,0
96,Safecracker: The Ultimate Puzzle Adventure,2007-08-29,0,4.99,0
97,Painkiller Overdose,2007-10-30,17,4.99,0
98,Bejeweled 2 Deluxe,2006-08-30,0,4.99,0
99,Chuzzle Deluxe,2006-08-30,0,4.99,0
100,Insaniquarium! Deluxe,2006-08-30,0,4.99,0
101,Zuma Deluxe,2006-08-30,0,4.99,0
102,AstroPop Deluxe,2006-08-30,0,4.99,0
103,Bejeweled Deluxe,2006-08-30,0,4.99,0
104,Big Money! Deluxe,2006-08-30,0,4.99,0
105,Dynomite! Deluxe,2006-08-30,0,4.99,0
106,Feeding Frenzy 2: Shipwreck Showdown Deluxe,2006-08-30,0,4.99,0
107,Hammer Heads Deluxe,2006-08-30,0,4.99,0
108,Heavy Weapon Deluxe,2006-08-30,0,4.99,0
109,Iggle Pop! Deluxe,2006-08-30,0,4.99,0
110,Pizza Frenzy,2006-08-30,0,4.99,0
111,Rocket Mania! Deluxe,2006-08-30,0,4.99,0
112,Typer Shark! Deluxe,2006-08-30,0,4.99,0
113,Talismania Deluxe,2006-08-30,0,4.99,0
114,Peggle Deluxe,2007-03-06,0,4.99,0
115,Peggle Extreme,2007-09-11,0,0,0
116,Venice,2007-06-25,0,4.99,0
117,Mystery P.I.: The Lottery Ticket,2007-10-16,0,4.99,0
118,Amazing Adventures: The Lost Tomb,2007-12-13,0,4.99,0
119,Mystery PI: The Vegas Heist,2008-06-05,0,4.99,0
120,Amazing Adventures Around the World,2009-04-15,0,4.99,0
121,Peggle Nights,2008-10-15,0,4.99,0
122,Bejeweled Twist,2008-11-18,0,4.99,0
123,Mystery P.I.: The New York Fortune,2009-01-28,0,4.99,0
124,The Wizard's Pen,2009-02-18,0,4.99,0
125,Plants vs. Zombies: Game of the Year,2009-05-05,0,4.99,0
126,Escape Rosecliff Island,2009-04-15,0,4.99,0
127,Mystery P.I.: Lost in Los Angeles,2009-07-27,0,4.99,0
128,Zuma's Revenge,2009-09-15,0,4.99,0
129,Sniper Elite,2009-07-16,0,9.99,0
130,Judge Dredd: Dredd vs Death,2009-03-26,0,7.99,0
131,Evil Genius,2009-06-22,0,9.99,0
132,Aliens versus Predator Classic 2000,2010-01-15,17,4.99,0
133,Advent Rising,2006-09-14,0,9.99,0
134,BloodRayne,2006-09-14,17,9.99,0
135,BloodRayne 2,2006-09-14,17,9.99,0
136,Psychonauts,2006-10-11,0,9.99,0
137,Sid Meier's Civilization IV,2006-10-25,0,19.99,0
138,Sid Meier's Civilization III: Complete,2006-10-25,0,4.99,0
139,Sid Meier's Pirates!,2005-07-11,0,9.99,0
140,Shattered Union,2006-10-25,0,4.99,0
141,CivCity: Rome,2007-04-06,0,9.99,0
142,Sid Meier's Civilization IV: Warlords,2007-04-06,0,4.99,0
143,Garry's Mod,2006-11-29,0,9.99,0
144,Poker Superstars II,2006-10-05,0,9.99,0
145,Race: The WTCC Game,2006-11-24,0,39.99,0
146,RACE: Caterham Expansion,2007-06-22,0,4.99,0
147,RoboBlitz,2006-11-07,0,9.99,0
148,Silverfall,2007-03-20,0,9.99,0
149,City Life 2008,2008-09-29,0,9.99,0
150,Silverfall: Earth Awakening,2008-07-18,0,9.99,0
151,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-20,17,19.99,0
152,Full Spectrum Warrior,2007-07-17,0,9.99,0
153,Full Spectrum Warrior: Ten Hammers,2007-07-17,0,9.99,0
154,Titan Quest,2007-06-26,0,0,0
155,Titan Quest: Immortal Throne,2007-03-05,0,0,0
156,Company of Heroes,2007-07-17,17,19.99,0
157,"Warhammer 40,000: Dawn of War - Game of the Year Edition",2007-08-07,17,12.99,0
158,Medieval II: Total War,2007-11-27,0,19.99,2
159,Condemned: Criminal Origins,2012-10-29,17,14.95,0
160,Rome: Total War,2007-08-28,0,9.99,0
161,Rome: Total War - Alexander,2007-08-28,0,4.99,0
162,Medieval II: Total War Kingdoms,2007-11-27,0,11.99,0
163,Heroes of Annihilated Empires,2006-11-22,0,14.99,0
164,Cossacks: Back to War,2010-09-02,0,4.99,1
165,Cossacks: Art of War,2011-08-26,0,4.99,0
166,Cossacks: European Wars,2011-08-26,0,4.99,0
167,Cossacks II: Battle for Europe,2011-08-26,0,4.99,0
168,Zen of Sudoku,2006-12-14,0,4.99,0
169,Natural Selection 2,2012-10-30,0,9.99,5
170,Indiana Jones and the Fate of Atlantis,2009-07-08,0,5.99,0
171,The Dig,2009-07-08,0,5.99,0
172,Thrillville: Off the Rails,2009-07-08,0,9.99,0
173,Armed and Dangerous,2009-07-08,0,5.99,0
174,Shank,2010-10-25,17,9.99,0
175,Ghost Master,2006-12-21,0,4.99,0
176,Vegas: Make It Big,2006-12-21,0,4.99,0
177,FlatOut,2007-02-02,0,7.49,0
178,Making History: The Calm & The Storm,2007-03-13,0,4.99,0
179,Ducati World Championship,2007-09-21,0,4.99,0
180,Dreamfall: The Longest Journey,2007-01-12,0,19.99,0
181,The Longest Journey,2007-05-01,0,9.99,0
182,Bloodline Champions,2011-10-28,0,0,3
183,Joint Task Force,2007-03-27,0,9.99,0
184,Nexus: The Jupiter Incident,2007-07-03,0,9.99,1
185,Lost Planet: Extreme Condition,2007-06-26,0,14.99,0
186,Devil May Cry 3: Special Edition,2007-06-12,0,19.99,0
187,Bullet Candy,2007-02-14,0,3.99,0
188,Commandos: Behind Enemy Lines,2007-03-15,0,3.99,0
189,Commandos: Beyond the Call of Duty,2007-03-15,0,3.99,0
190,Commandos 2: Men of Courage,2007-03-15,0,3.99,0
