rating_id,uName,gID,rating_date,rating
ngarth289,ngarth,289,2018-11-08,4
ngarth7153,ngarth,7153,2019-02-16,4
ngarth2160,ngarth,2160,2017-06-10,2
ngarth10154,ngarth,10154,2017-10-07,3
ngarth720,ngarth,720,2017-10-23,3
ngarth11675,ngarth,11675,2018-12-02,4
ngarth5754,ngarth,5754,2018-04-30,4
ngarth10073,ngarth,10073,2019-08-06,4
ngarth2392,ngarth,2392,2019-02-28,5
ngarth548,ngarth,548,2017-12-19,4
ngarth8050,ngarth,8050,2016-12-18,4
ngarth3078,ngarth,3078,2018-12-09,4
ngarth7090,ngarth,7090,2019-03-09,4
ngarth6545,ngarth,6545,2017-08-26,3
ngarth4471,ngarth,4471,2019-08-30,4
ngarth8054,ngarth,8054,2018-03-02,5
ngarth4698,ngarth,4698,2018-04-01,4
mlittlepage12028,mlittlepage,12028,2018-12-14,2
mlittlepage8784,mlittlepage,8784,2016-05-21,4
mlittlepage5893,mlittlepage,5893,2019-04-24,5
mlittlepage9826,mlittlepage,9826,2018-11-11,4
mlittlepage9537,mlittlepage,9537,2018-01-03,3
mlittlepage538,mlittlepage,538,2016-07-17,3
mlittlepage11835,mlittlepage,11835,2019-03-07,4
mlittlepage11186,mlittlepage,11186,2019-04-06,4
mlittlepage6974,mlittlepage,6974,2018-06-16,4
lefaw2503,lefaw,2503,2018-05-26,4
lefaw2705,lefaw,2705,2017-09-20,1
lefaw2752,lefaw,2752,2019-01-19,4
lefaw3968,lefaw,3968,2017-08-29,2
lefaw4889,lefaw,4889,2017-03-24,4
lefaw7300,lefaw,7300,2017-05-24,3
aboehm2125,aboehm,2125,2019-04-11,5
aboehm560,aboehm,560,2017-10-21,4
aboehm5252,aboehm,5252,2017-12-22,5
aboehm11594,aboehm,11594,2018-05-13,3
aboehm617,aboehm,617,2017-06-03,4
aboehm7021,aboehm,7021,2018-09-26,1
aboehm5411,aboehm,5411,2018-08-05,4
aboehm7799,aboehm,7799,2018-06-23,4
aboehm11848,aboehm,11848,2018-09-18,3
aboehm3616,aboehm,3616,2017-10-20,1
aboehm5175,aboehm,5175,2018-06-29,2
aboehm10199,aboehm,10199,2019-05-31,3
aboehm3466,aboehm,3466,2017-05-09,1
aboehm6458,aboehm,6458,2017-03-28,4
aboehm3754,aboehm,3754,2019-01-16,3
aboehm2184,aboehm,2184,2017-10-16,4
aboehm9816,aboehm,9816,2018-05-12,2
aboehm6342,aboehm,6342,2018-08-08,2
aboehm3643,aboehm,3643,2017-07-21,4
aboehm4329,aboehm,4329,2018-05-20,3
aboehm650,aboehm,650,2019-02-27,4
aboehm2418,aboehm,2418,2018-01-01,2
aboehm3699,aboehm,3699,2018-10-12,1
aboehm9124,aboehm,9124,2018-01-19,3
lmarion9160,lmarion,9160,2018-05-06,4
lmarion6579,lmarion,6579,2018-10-04,4
lmarion3701,lmarion,3701,2018-10-14,5
lmarion7152,lmarion,7152,2018-09-24,3
lmarion1234,lmarion,1234,2018-08-31,3
lmarion5038,lmarion,5038,2018-12-03,4
lmarion3250,lmarion,3250,2018-05-05,3
lmarion5539,lmarion,5539,2018-03-19,4
lmarion189,lmarion,189,2018-12-31,5
lmarion5683,lmarion,5683,2019-08-18,5
